Session_Name_	Trial_Index_	Trial_Recycled_	condition	text	question	expected_key	QUESTION_KEY_PRESSED	QUESTION_RT	QUESTION_ACCURACY	SENTENCE_RT	speechid	paragraphid	counterbalance	LAST_COUNTERBALANCE
P51	1	False	practice	"NY TALE BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	4562	1327	-1	0	0
P51	2	False	practice	"Hej alle sammen!"	"NO QUESTION"	NA	.	-1	-1	1144	1327	0	0	0
P51	3	False	practice	"Som I allerede ved, vil vi om lidt tænde for et bål, der vil brænde et skab af – det skab, vi har følt os begrænset af, indelukket i, og som de fleste af os er brudt ud af for at kunne blive lykkeligere."	"NO QUESTION"	NA	.	-1	-1	14311	1327	1	0	0
P51	4	False	practice	"'Men skabe er da ganske praktiske til opbevaring af mangt og meget, ikke sandt?' Jo, opbevaring af værdier, det er rigtigt – men når vi først begynder at sætte spørgsmålstegn ved disse værdier, så føles skabet mere og mere trangt, for det kan ikke rumme vores ideer og følelser mere."	"NO QUESTION"	NA	.	-1	-1	17627	1327	2	0	0
P51	5	False	practice	"'Jamen hvad er der i det skab?' Der er en opfattelse af at kvinder og mænd skal tænke, føle, klæde sig og handle forskelligt – fordi nogle er kvinder og andre er mænd. Kønsroller kalder vi det. Men det rækker faktisk meget længere end bare til roller, vi spiller – rollerne invaderer vores tanker og vores følelser, så vi næsten ikke kan tænke uden for rollen, så længe skabet omslutter os, og i hvert fald først og fremmest føler vi må tage hensyn til dem, der er i skabet..."	"Spørgsmål:\nMener taleren at kønsroller både påvirker hvordan vi handler og tænker?"	1	1	6882	1	27865	1327	3	0	0
P51	6	False	practice	"Når vi endelig bryder ud af skabet og for alvor viser og siger det, der ikke passer i det normative skab, kan vi godt opleve negative reaktioner – men så sandelig også positive – for vi er jo slet ikke alene!"	"NO QUESTION"	NA	.	-1	-1	15839	1327	4	0	0
P51	7	False	practice	"Der er nemlig andre som ligner os mere eller mindre, vi er en broget og mangfoldig flok i alle aldre, hudfarver, kulturelle baggrunde, med og uden handicap, med og uden tro, af forskellig politisk overbevisning, og – vigtigst for os her: af flere forskellige kønsidentiteter og seksuelle orienteringer."	"NO QUESTION"	NA	.	-1	-1	15000	1327	5	0	0
P51	8	False	practice	"Fælles for os er, at vi er en regnbueminoritet i forhold til flertallets skab – men det betyder ikke at majoriteten har ret. Vi vil udefra informere om, at der er andre måder at se tingene på, tilbyde et alternativt syn på livet og verden, som kan hjælpe nogle – især børn og unge – ud af et skab, de mistrives i."	"Spørgsmål:\nMener taleren at minoriteter bør tie med deres verdenssyn?"	2	2	8584	1	18771	1327	6	0	0
P51	9	False	practice	"Lad os brænde skabet med normerne, så vi frigøres fra dem og får retten til at være dem, vi faktisk er!"	"NO QUESTION"	NA	.	-1	-1	10676	1327	7	0	0
P51	10	False	experiment	"NY WIKIPEDIA-ARTIKEL BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	2571	202209	-1	14	14
P51	11	False	experiment	"Hvor smiler fager den danske Kyst" eller "Danmarkssangen" er et digt af Johannes V. Jensen. Digtet blev påbegyndt i juni 1925 og udkom første gang i sin helhed med syv strofer 31. oktober samme år. Den kan opdeles i fire dele: De to første strofer har et havtema, de næste to handler om landet, derpå kommer to strofer om oldtiden og arkæologi, og den sidste strofe handler om danskere, der rejser ud.
	"NO QUESTION"	NA	.	-1	-1	25157	202209	0	14	14
P51	12	False	experiment	"Det sangbare digt har været med i Højskolesangbogen siden 12. udgave fra 1933. Allerede inden digtet var helt færdigt kom den første melodi til det, men den mest kendte melodi skrev Oluf Ring i 1935. Som sang er "Nu smiler fager den danske Kyst" indspillet i mere end 60 udgaver. Sangeren Christopher skrev i 2016 en ny melodi til digtet."	"Spørgsmål:\nFindes der flere forskellige melodier til "Hvor smiler fager den danske Kyst"?"	1	1	7665	1	19501	202209	1	14	14
P51	13	False	experiment	"NY WIKIPEDIA-ARTIKEL BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	2412	202208	-1	14	14
P51	14	False	experiment	"Lungebetændelse eller pneumoni er en betændelsestilstand i lungerne. Den påvirker især de mikroskopiske luftsække, der hedder alveoler. Sygdommen skyldes som regel en infektion med virus eller bakterier.
Typiske symptomer omfatter hoste, brystsmerter, feber og stakåndethed. Diagnostiske værktøjer er bl.a. røntgen og dyrkning af bakterier fra opspyt. Der findes vacciner, som kan forebygge visse typer lungebetændelse. Behandlingen afhænger af den tilgrundliggende årsag. Lungebetændelser, man mener skyldes bakterier, behandles med antibiotika. Hvis det er en svær lungebetændelse, bliver personen typisk indlagt på hospitalet."	"Spørgsmål:\nBør alle lungebetændelser behandles med antibiotika?"	2	2	11297	1	30601	202208	0	14	14
P51	15	False	experiment	"Hvert år får ca. 450 millioner mennesker lungebetændelse. Det er 7 % af verdens befolkning, og det resulterer i ca. 4 millioner dødsfald. Selvom lungebetændelse i 1800-tallet blev beskrevet som "the captain of the men of death" (dødemændenes anfører), har antibiotika mindsket dødeligheden. Ikke desto mindre er lungebetændelse en stor dødsårsag, især i udviklingslandene, blandt ældre, meget unge og kronisk syge."	"NO QUESTION"	NA	.	-1	-1	18160	202208	1	14	14
P51	16	False	experiment	"NY WIKIPEDIA-ARTIKEL BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	1179	202207	-1	14	14
